city,district,date,year_week,source_url,severity
Pune,,2019-07-27,2019-29,https://news.google.com/rss/articles/CBMivAFBVV95cUxPZFo0RkwwNmRTSTdXOXJxQkVnVlZiZllWVVdsaG1EUnVZQTA2SlF6dUhhUWxhallqT2JCc0VrQTBWYXA2VVBGbkwzYl9yUFh1Q0hDQ3FYS3pxQzNmV2N4Z1o4bXowbWt4cmRrSV9KT0ZzWmFST1Bpa251VzFlM1pKa0M3ZGp0LVdRa05HNElLcFdmUFZTWVk4VkstNS14bDlFaXR3RnFZM2szLTFmVjZGZVJBSkMxVU80QjZ6VQ?oc=5,High
Thane,,2019-07-27,2019-29,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOaFFuN0p4MXlGS255a3JrV3NWQzZHS3l5cmRiNGEzQ2VNcjNMYkNfQmtTd1B0eE1jdVpyakZKYl93cXRUZ1JPMUU5YzBENEZCVzkwOTF0cElnWlNjbjFId2pRbXhZckZ1ZE1MR2h3VmctTDZUVHVwWkYtZERNMC1aRGVKdjVfS2FLenZKdVRmeUxtWWt2WDJBdHJvZTR4OGl3ZTMtUWtKTUdlQ0NzRGZ0dEJRNTdxRDlLaERRNmMzWkNwM0NFTVRrOGlmWWtidjdHYTBZZjV5TDRuajJmRjlKVDFCVEt2SjRp0gH2AUFVX3lxTFBaR0NmLUw2NXVDZDhWYWlEMG1uYVNZY0t1NGRCSzdQYVJqTWhNLXcxakFwSXpIVktNb25Gck5MYU43SkZSMzJGQ1Y4alI5NWdKbmVtZWtpNjM2VFA5MWlLV0x3VjBwaDc5Szk1Q0poZzFVbEdZblRaX29fWVFsMWtENHdXdVhLdFhtZmxUd2k5QWRoaV9rTUFCSVMxQ1dfbUlaMUNjWkZvek5VN1BTNl9zblV2ZUhjaHFCcDlkbWZkZXVqUEtQdl9XVVI2bEtIMXZITDFvQjlpQmhERWNXaW9FSFhoc3pIVUU3cThmczRpZU5DV1lhZw?oc=5,High
Bhiwandi,,2019-07-28,2019-30,https://news.google.com/rss/articles/CBMixwFBVV95cUxNVVZyQ3JoRTN1Sl90R1JIWlRxZnRuY0ZIRUxBX0tMZ1pDUkIydnFkQm5kNC1aUTcwbUw5dGY1WlI0cDRxR2ZheE03MTVCNlNibHJYMEljcFp1aE1sZXJJbGduYV95c21pdTMzMGtuc1JGSzc1YUlGZHU2MW1yel9nNE0zM1BnMmVPVGkyTEpPYTRBbWxKc0lPWS1FdXBoU0FuVFNteGNNaWU1MFY2WFhSeDRjM1FtdEZBTGtPMWhaaVVhVzRENWxz?oc=5,High
Satara,,2019-07-28,2019-30,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPeWlJR3lTcVpnVW9XNFUtOF9hbXF3STdzX203Y0tWeVYySU9zdkJBUF9wcnp3VEo4ampoeTV0NF9xLTB2cDRhbHRnODdLcFk0ME5fNFdJa3FZNUlfcDU1V0EyVWlZYUNtOFpsTzJ0ZktsWWt6VDlQemhHT3dzVUpXbjRyV0t4Y2hBWFdwclNuREVnTHFlQUNpVGlpLVJEQm9JdElUZ1NhdXN3Mi1XaHhGRGIzLW5ka3VlOEZ6VDl2TU43TEJRZjBkQ9IBzgFBVV95cUxNbTlxOWtMdHF4dy02dEdYb3RITU5Ub1MzdzZYSXBvZE5vbWF3eUVYU3pfV0R5U1ZkRmlTa3BlT1YwOUplbHVsNXBBNGtMNWQ3QVVIanZ6OElfd2hUX1llcXNZT0FJdDhVeXl2M3BiOWJwRTNGeGpWS2ZOQ0tBbmh0Ni1Kb1dwY1hVTklzeDJEbWlvVjdtVjI2UHlfQW5LU3dMZXJJd1c1MzFJdE1qNDdib2NReWNKUDVHekxZY3Vyc0tid2YxbDA0N0p5UWxoQQ?oc=5,High
Palghar,,2019-07-29,2019-30,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOWG56emRRMFduOEpVQzVEREtaV2xvWnpUUjM4b1ZOTEtKcWJQUUJldTdubE9vQkVybTRHTTE0a2NnbHEwVkJPMlc2YmM3Z3VBNTNrczFXNXItZ0tuaklkTzl6dG5CNEhJeHNZeWVYd2xNZ1U3RkhHZW9vZU02cW12NmZFSzRZOGR6eW83bXpmNTVZdGUwS0o2OWQ3R1ZjLVFnZXlPa2RETkRBZnhmRF93a2RmSnJXdC0zMmF2MUstd2MyTVFLOE9weEo2WUFSSWxGS0t3ckQtb3B2MGhtakV0LWVkM2hGYVlLcHMwMTVOSmF0QdIB-AFBVV95cUxOUGlxRVo2OGN5V2pVR2FPWEw3OUVpa196a05rbnVCeTZkUXpqc3RMYmE0WUN3VlloZ0MwYkh2dEdVRHBIY0MwTnlob0djTnFXeEV3SW5MaHVsRWY2VmdPSGNxTERkejRQdEMyaXBUalpxZGR1U1BIQTJ3STljWVNGOGZLUlhWRmNObDFfcEo0ai1Eak10ZEZlWVJKdGNUY0hJQ1lrZjQ3R2tLNmtUMWxYdzNtSmxuSjB3aWdaLW5jLUxIU01kaTVrb1lfeS1MVVN1VlY5aEFxeUxFdGhYc3pHT3dZMlU4d0pXa3hnM2xXcHFXc3FjcmxQWQ?oc=5,High
Jalgaon,,2019-07-30,2019-30,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPbnlxbmxkN0tQeDVTLVJRTFJTeHhNdmVWVzBBWldrLU9mbmotRUNJazlOMlF6bXJzZThHYzlNS2RpeE83ZXgwa1J0RUtHcG1NQTNkeDcxTnNYekNJR0M5THQxSTZjQkQ4UVl6d3pBaUVEYjBPeTItajBrZlVVSlQ0WGR6Y1R0VnpxbjJYQi1ZWjd4MEw4dk9udkY4Yms2VFExTmhObzA0cWxyTlptYU9OVTNhal84dWRkRkMyay1uR19vMGVIMkVZWkZKZ1F2ZEZDY0M5U25NX1JwVUllekllRVpB?oc=5,High
Nashik,,2019-07-30,2019-30,https://news.google.com/rss/articles/CBMijwJBVV95cUxQdFlqd1psVEZWU2trcDdpZF9UOHZlWTlXR182Z0FFSUZvcUJJMThVS1Y5S05lZWpHR25MS0VTU2dzSno1QUFERjRCUVFId1VhOU1peDFTUFA5YndiWWJkVko0SE1DbmpPNFM1V3dLajVrUVU4aXpBQnJwandDbXVKUlhqdU83SzVpR1R4aDZrazFEcFhqMWxLU0c0dlMwaVUwZmJxbWZQX2Zqcnh2ZU1rT2E0ZGRkbnB2cWQ1eEQxVFl6dGpSMktGOUx0MjNEU2pCU1JyR3g2RkI2dHBNLVlTQXJpdXBWS2xJaTVJQ3NDZjJTT055SUhBa3BWZG9ldk9iTlpBQlVGV2tPY2tWV0040gGUAkFVX3lxTE94akd4Q2lvRXhQRXRacUtQZTJ1clZZV3hHS09BLWZ2US1mYV83dnR0TzNWU1RkeTdwV1NUWENra2s4UDJZWmV4M0RFakxfb0p4VHBvUTZSVlRmb3NSQVJMLW5MNHN4SFJQYXZWOTBVVUlUQ2pMN0xZSHk4aDVoalp2U0ltUHV2UGFoeElnZkJTcFNtTXFkY2FGNHVhd08zMFpqV0NuUS1lb1ZsbnJNSFluZHR0d19OQmVDX3hqX0tGaGVhaTRMVmxvOEFJU0lUV1dTVmJtMlhRQ0dlREFRYWVfRThhUDFOUmJTSzhKSVdkX0d1VUhhcko5TFZnUFFVOHVzeFhlb2NleHhRWGdpa01ZVC1TXw?oc=5,High
Mahabaleshwar,,2019-07-30,2019-30,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPbnlxbmxkN0tQeDVTLVJRTFJTeHhNdmVWVzBBWldrLU9mbmotRUNJazlOMlF6bXJzZThHYzlNS2RpeE83ZXgwa1J0RUtHcG1NQTNkeDcxTnNYekNJR0M5THQxSTZjQkQ4UVl6d3pBaUVEYjBPeTItajBrZlVVSlQ0WGR6Y1R0VnpxbjJYQi1ZWjd4MEw4dk9udkY4Yms2VFExTmhObzA0cWxyTlptYU9OVTNhal84dWRkRkMyay1uR19vMGVIMkVZWkZKZ1F2ZEZDY0M5U25NX1JwVUllekllRVpB?oc=5,High
Nashik,,2019-08-05,2019-31,https://news.google.com/rss/articles/CBMiugFBVV95cUxNN2c4S1hBbDBQbXBnNFE4VUNLTnlfNW5OM0xuZjJxaHdzRUZIMEJuN0ViamJBWFIzUFh0MWdGQ2VmbUcxY3FiU1VoTzdvZFRoMmptZjhyWENvZ2Z3am1QeFF6eEtvVWZqVjFWZkJpczRYSDhTbGpkeEtQVkE3cU40eWl2WTFrYjRsZzB1UU9tU0hGR3pkQWpCTVVtLXpoSlZmRElBc01uZXBxX0NDVlFRNHBUeFdXNHRzOXc?oc=5,High
Palghar,,2019-08-05,2019-31,https://news.google.com/rss/articles/CBMiugFBVV95cUxNN2c4S1hBbDBQbXBnNFE4VUNLTnlfNW5OM0xuZjJxaHdzRUZIMEJuN0ViamJBWFIzUFh0MWdGQ2VmbUcxY3FiU1VoTzdvZFRoMmptZjhyWENvZ2Z3am1QeFF6eEtvVWZqVjFWZkJpczRYSDhTbGpkeEtQVkE3cU40eWl2WTFrYjRsZzB1UU9tU0hGR3pkQWpCTVVtLXpoSlZmRElBc01uZXBxX0NDVlFRNHBUeFdXNHRzOXc?oc=5,High
