feature,importance
precipitation,0.3881588768029063
cloud_cover,0.11818241338060988
max_reservoir_fill,0.095163480226683
avg_reservoir_fill,0.08605832837615839
wind_speed,0.0687169196870466
precip_cover,0.06396978118808284
temp_avg,0.056411616132157595
temp_max,0.05156607444432693
humidity,0.045388564503159055
reservoir_risk_score,0.016273440157583197
reservoirs_above_danger,0.010110505101286157
