temp_avg,temp_max,wind_speed,cloud_cover,precipitation,humidity,precip_cover,avg_reservoir_fill,max_reservoir_fill,reservoir_risk_score,reservoirs_above_danger,flood_class
30.825,42.5,19.893750000000004,31.5625,1.6,55.375,12.5,43.07,43.07,0,0,0
26.35625,30.4,19.6875,94.9375,315.9,88.5,100.0,95.26,95.26,6,1,1
26.85,34.2,11.375,24.9375,0.0,69.5,0.0,91.45,91.45,4,1,1
29.537499999999998,40.6,17.462500000000002,39.9375,15.1,70.0625,68.75,38.5,38.5,0,0,0
24.224999999999998,35.2,15.525,9.25,0.0,58.0625,0.0,70.55,70.55,1,0,0
26.612500000000004,32.2,13.9125,83.8125,119.80000000000001,87.5,100.0,98.98,98.98,6,1,1
30.900000000000002,40.9,23.068749999999994,34.0,0.3,25.8125,6.25,68.88,68.88,0,0,0
27.762500000000003,38.0,18.7375,67.5625,41.70000000000001,70.8125,81.25,100.0,100.0,6,1,1
24.362499999999997,31.2,20.0375,35.8125,5.9,59.375,18.75,100.0,100.0,6,1,1
31.368750000000002,41.0,27.156249999999996,53.3125,26.6,52.875,75.0,100.0,100.0,6,1,1
25.5,32.1,16.78125,29.375,0.0,41.6875,0.0,100.0,100.0,6,1,1
30.293749999999996,37.4,16.943749999999998,16.4375,0.0,22.5625,0.0,100.0,100.0,6,1,1
25.875000000000004,32.3,22.45625,79.4375,61.00000000000001,77.125,100.0,100.0,100.0,6,1,1
26.35625,31.7,26.093750000000004,82.0,58.2,77.875,100.0,100.0,100.0,6,1,1
35.612500000000004,41.9,25.875,18.5625,0.0,28.1875,0.0,100.0,100.0,6,1,1
25.418750000000003,31.3,17.462500000000002,80.125,108.99999999999999,82.4375,75.0,100.0,100.0,6,1,1
23.35625,29.8,18.55625,98.5,194.00000000000003,84.9375,100.0,46.76,94.77,3,2,1
23.525000000000002,30.5,13.531250000000002,75.9375,233.20000000000002,83.5,81.25,75.0,100.0,6,3,1
26.8875,35.7,15.212500000000002,21.3125,10.8,47.5,18.75,49.27,84.6,0,0,0
22.24375,29.4,10.90625,15.4375,1.4000000000000001,64.0625,18.75,75.0,100.0,6,3,1
19.875000000000007,28.8,9.09375,29.5,0.1,68.875,6.25,67.93,99.64,4,2,1
22.599999999999998,29.2,9.681250000000002,26.5625,66.3,70.5625,37.5,75.0,100.0,6,3,1
21.525,29.7,9.674999999999999,30.0,2.6999999999999997,66.0,37.5,36.7,78.13,0,0,0
21.650000000000002,28.9,10.399999999999999,44.25,13.3,71.0,43.75,66.61,97.41,4,2,1
23.912499999999994,29.7,17.35,82.6875,157.09999999999997,84.4375,100.0,29.23,48.04,0,0,0
25.487500000000004,33.1,13.1625,26.3125,0.9,48.375,6.25,52.54,81.49,0,0,0
22.2625,32.8,10.1875,36.3125,0.0,55.125,0.0,31.29,68.65,0,0,0
28.643749999999997,38.9,19.7,29.75,0.1,54.75,6.25,17.08,37.45,0,0,0
22.506250000000005,32.6,12.231250000000001,19.8125,3.9000000000000004,60.0,31.25,40.8,87.77,2,1,0
26.0,37.5,15.9875,48.3125,21.999999999999996,64.5,50.0,25.99,44.44,0,0,0
24.125000000000004,31.6,11.712499999999999,63.125,123.59999999999998,77.5,56.25,19.08,76.32,0,0,0
25.043750000000003,35.7,15.58125,22.6875,3.4,53.9375,12.5,23.92,48.89,0,0,0
23.700000000000003,29.8,14.63125,94.6875,66.1,82.875,100.0,31.84,64.32,0,0,0
22.943749999999998,30.1,8.46875,41.6875,2.2,65.75,25.0,68.74,96.89,5,3,1
23.368750000000002,29.3,13.33125,77.375,148.2,84.8125,100.0,74.55,100.0,6,3,1
30.068749999999998,40.3,18.775,12.5625,0.0,65.6875,0.0,25.92,25.92,0,0,0
31.368749999999995,41.8,20.9,26.875,1.4,28.3125,6.25,6.06,11.72,0,0,0
